case,closing_speed_m_s,k,projectile_kg,projectile_temperature_k,projectile_density_kg_m3,injection_speed_m_s,stored_water_temperature_k,stored_water_pressure_pa,liquid_energy_j_kg,energy_offset_j_kg,reference_match_temperature_k,reference_match_density_kg_m3,coolprop_version,mixed_density_kg_m3,merge_velocity_m_s,merge_heat_j,total_input_energy_j,mixed_internal_energy_j_kg,temperature_k,pressure_pa,bond_energy_j_kg,bond_fraction,ionization_energy_j_kg,thermal_energy_j_kg
3-synodic,56530.0,8.5,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,1.0,5950.526315789473,35740720592.10526,39552788251.265335,148833674.07734987,21661.819990741467,36003193.034636214,50911249.10357476,0.9994182764345063,43894416.568844825,54028008.40493029
3-synodic,56530.0,8.5,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,10.0,5950.526315789473,35740720592.10526,39552788251.265335,148833674.07734987,26833.99577019595,427721355.80107987,50716028.66168235,0.9955859823738369,33738406.49826659,64379238.91740093
3-synodic,56530.0,9.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,0.1,5653.0,35950960125.0,39528867383.958984,142137265.03583595,17367.87188857118,2925169.557964439,50936121.2685074,0.9999065319113579,47320656.75737044,43880487.00995812
3-synodic,56530.0,9.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,1.0,5653.0,35950960125.0,39528867383.958984,142137265.03583595,21094.236764282825,34471046.94423166,50907993.457607165,0.9993543661565442,39497650.43560076,51731621.14262803
3-synodic,56530.0,9.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,10.0,5653.0,35950960125.0,39528867383.958984,142137265.03583595,25955.099384444336,407578618.07559234,50694684.7910318,0.9951669894244669,30072113.665866118,61370466.57893802
3-synodic,56530.0,10.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,0.1,5139.090909090909,36314101136.36363,39481025649.346275,130362238.31167239,16656.392688806933,2714427.80003954,50934998.74474597,0.9998844960983959,38707345.91290065,40719893.65402577
3-synodic,56530.0,10.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,1.0,5139.090909090909,36314101136.36363,39481025649.346275,130362238.31167239,20029.913868788433,31752832.74479027,50900885.092998214,0.9992148247068481,31803278.493357632,47658074.725316554
3-synodic,56530.0,10.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,10.0,5139.090909090909,36314101136.36363,39481025649.346275,130362238.31167239,24312.702458263586,371745057.93250006,50647873.288710415,0.9942480516299499,23693053.413866952,56021311.60909502
2-synodic,61830.0,5.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,0.1,10305.0,39822384375.0,47561584322.409805,263980716.31606537,23427.78882538637,5238873.002600814,50940292.12925893,0.9999884084030358,134456826.3291626,78583597.85764384
2-synodic,61830.0,5.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,1.0,10305.0,39822384375.0,47561584322.409805,263980716.31606537,29980.889474300922,63781706.636030495,50935059.396615505,0.9998856867308786,117366666.78559977,95678990.1338501
2-synodic,61830.0,5.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,10.0,10305.0,39822384375.0,47561584322.409805,263980716.31606537,39497.20080177349,784232285.7576375,50876896.0863455,0.9987439061553615,95374815.40006009,117729004.82965979
2-synodic,61830.0,6.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,0.1,8832.857142857143,40960166785.71428,47513742587.797104,232497417.84863648,21871.39203550919,4589688.900133006,50939815.66768689,0.999979055177344,112711424.11202216,68846178.06892744
2-synodic,61830.0,6.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,1.0,8832.857142857143,40960166785.71428,47513742587.797104,232497417.84863648,27774.269394602517,55691383.30882941,50931705.50501041,0.999819847832279,98019284.68924433,83546427.65438175
2-synodic,61830.0,6.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,10.0,8832.857142857143,40960166785.71428,47513742587.797104,232497417.84863648,36243.54381625558,682629292.4596432,50852552.53941108,0.9982660277660491,79131577.45156354,102513287.85766184
2-synodic,61830.0,7.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,0.1,7728.75,41813503593.75,47465900853.184395,207462715.98467198,20681.642335277276,4106935.824271426,50939247.65082423,0.9999679046665264,94918211.65961029,61605256.674237475
2-synodic,61830.0,7.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,1.0,7728.75,41813503593.75,47465900853.184395,207462715.98467198,26035.50265379522,49587140.36291,50927908.11919876,0.999745302877094,82141744.40984371,74393063.4556295
2-synodic,61830.0,7.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,10.0,7728.75,41813503593.75,47465900853.184395,207462715.98467198,33602.43897742852,604517465.1098543,50826268.22337847,0.9977500509183169,65816235.70178733,90820212.05950618
